Stazione,Descrizione,Inquinante,Data,Media_Giornaliera,Ore_Disponibili,latitude,longitude
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-06-23,46.9,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-06-24,35.56521739130436,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-06-25,45.19565217391305,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-06-26,45.391304347826086,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-06-27,41.509090909090915,22,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-06-29,13.495652173913046,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-06-30,47.14782608695653,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-07-01,55.42727272727272,22,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-07-03,48.44782608695652,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-07-04,42.17826086956522,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-07-05,38.04782608695652,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-07-06,31.12173913043478,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-07-07,26.278260869565216,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-07-12,40.13913043478261,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-07-13,44.2304347826087,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-07-14,48.49545454545454,22,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-07-16,46.77272727272727,22,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-07-17,22.952173913043477,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-07-19,46.20869565217391,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-07-20,33.95217391304347,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-07-21,24.969565217391303,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-07-22,27.039130434782614,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-07-23,21.96521739130435,23,40.8536064,14.25115
